date,sku_id,warehouse_id,supplier_id,region,units_sold,inventory_level,supplier_lead_time_days,reorder_point,order_quantity,unit_cost,unit_price,promotion_flag,stockout_flag,demand_forecast,total_revenue,total_cost,profit,profit_margin,below_reorder_flag,lost_sales_units,lost_revenue,forecast_error,abs_forecast_error
2024-01-01,SKU_1,WH_1,SUP_8,West,10,592,14,379,0,13.95,20.48,0,0,8.52,204.8,139.5,65.30000000000001,0.31884765625000006,0,0.0,0.0,1.4800000000000004,1.4800000000000004
2024-01-02,SKU_1,WH_1,SUP_8,West,17,575,14,379,0,13.95,20.48,0,0,18.63,348.16,237.14999999999998,111.01000000000005,0.3188476562500001,0,0.0,0.0,-1.629999999999999,1.629999999999999
2024-01-03,SKU_1,WH_1,SUP_8,North,35,540,14,379,0,13.95,20.48,1,0,39.62,716.8000000000001,488.25,228.55000000000007,0.31884765625000006,0,0.0,0.0,-4.619999999999997,4.619999999999997
2024-01-04,SKU_1,WH_1,SUP_8,South,24,516,14,379,0,13.95,20.48,0,0,19.43,491.52,334.79999999999995,156.72000000000003,0.31884765625000006,0,0.0,0.0,4.57,4.57
2024-01-05,SKU_1,WH_1,SUP_8,West,21,495,14,379,0,13.95,20.48,0,0,18.7,430.08,292.95,137.13,0.31884765625,0,0.0,0.0,2.3000000000000007,2.3000000000000007
2024-01-06,SKU_1,WH_1,SUP_8,East,18,477,14,379,0,13.95,20.48,0,0,18.33,368.64,251.1,117.53999999999999,0.31884765625,0,0.0,0.0,-0.3299999999999983,0.3299999999999983
2024-01-07,SKU_1,WH_1,SUP_8,North,19,458,14,379,0,13.95,20.48,0,0,18.91,389.12,265.05,124.07,0.31884765625,0,0.0,0.0,0.08999999999999986,0.08999999999999986
2024-01-08,SKU_1,WH_1,SUP_8,North,23,435,14,379,0,13.95,20.48,1,0,25.84,471.04,320.84999999999997,150.19000000000005,0.3188476562500001,0,0.0,0.0,-2.84,2.84
2024-01-09,SKU_1,WH_1,SUP_8,West,25,410,14,379,0,13.95,20.48,0,0,21.7,512.0,348.75,163.25,0.31884765625,0,0.0,0.0,3.3000000000000007,3.3000000000000007
2024-01-10,SKU_1,WH_1,SUP_8,South,25,385,14,379,0,13.95,20.48,0,0,21.34,512.0,348.75,163.25,0.31884765625,0,0.0,0.0,3.66,3.66
2024-01-11,SKU_1,WH_1,SUP_8,North,23,362,14,379,0,13.95,20.48,0,0,18.82,471.04,320.84999999999997,150.19000000000005,0.3188476562500001,1,0.0,0.0,4.18,4.18
2024-01-12,SKU_1,WH_1,SUP_8,West,29,803,14,379,470,13.95,20.48,1,0,31.65,593.92,404.54999999999995,189.37,0.31884765625000006,0,0.0,0.0,-2.6499999999999986,2.6499999999999986
