date,year,quarter,month,day,month_name,day_of_week,day_name
2024-01-01,2024,1,1,1,January,1,Monday
2024-01-02,2024,1,1,2,January,2,Tuesday
2024-01-03,2024,1,1,3,January,3,Wednesday
2024-01-04,2024,1,1,4,January,4,Thursday
2024-01-05,2024,1,1,5,January,5,Friday
2024-01-06,2024,1,1,6,January,6,Saturday
2024-01-07,2024,1,1,7,January,7,Sunday
2024-01-08,2024,1,1,8,January,1,Monday
2024-01-09,2024,1,1,9,January,2,Tuesday
2024-01-10,2024,1,1,10,January,3,Wednesday
2024-01-11,2024,1,1,11,January,4,Thursday
2024-01-12,2024,1,1,12,January,5,Friday
2024-01-13,2024,1,1,13,January,6,Saturday
2024-01-14,2024,1,1,14,January,7,Sunday
2024-01-15,2024,1,1,15,January,1,Monday
2024-01-16,2024,1,1,16,January,2,Tuesday
2024-01-17,2024,1,1,17,January,3,Wednesday
2024-01-18,2024,1,1,18,January,4,Thursday
2024-01-19,2024,1,1,19,January,5,Friday
2024-01-20,2024,1,1,20,January,6,Saturday
2024-01-21,2024,1,1,21,January,7,Sunday
2024-01-22,2024,1,1,22,January,1,Monday
2024-01-23,2024,1,1,23,January,2,Tuesday
2024-01-24,2024,1,1,24,January,3,Wednesday
2024-01-25,2024,1,1,25,January,4,Thursday
2024-01-26,2024,1,1,26,January,5,Friday
2024-01-27,2024,1,1,27,January,6,Saturday
2024-01-28,2024,1,1,28,January,7,Sunday
2024-01-29,2024,1,1,29,January,1,Monday
2024-01-30,2024,1,1,30,January,2,Tuesday
2024-01-31,2024,1,1,31,January,3,Wednesday
2024-02-01,2024,1,2,1,February,4,Thursday
2024-02-02,2024,1,2,2,February,5,Friday
2024-02-03,2024,1,2,3,February,6,Saturday
2024-02-04,2024,1,2,4,February,7,Sunday
2024-02-05,2024,1,2,5,February,1,Monday
2024-02-06,2024,1,2,6,February,2,Tuesday
2024-02-07,2024,1,2,7,February,3,Wednesday
2024-02-08,2024,1,2,8,February,4,Thursday
2024-02-09,2024,1,2,9,February,5,Friday
2024-02-10,2024,1,2,10,February,6,Saturday
2024-02-11,2024,1,2,11,February,7,Sunday
2024-02-12,2024,1,2,12,February,1,Monday
2024-02-13,2024,1,2,13,February,2,Tuesday
2024-02-14,2024,1,2,14,February,3,Wednesday
2024-02-15,2024,1,2,15,February,4,Thursday
2024-02-16,2024,1,2,16,February,5,Friday
2024-02-17,2024,1,2,17,February,6,Saturday
2024-02-18,2024,1,2,18,February,7,Sunday
2024-02-19,2024,1,2,19,February,1,Monday
2024-02-20,2024,1,2,20,February,2,Tuesday
2024-02-21,2024,1,2,21,February,3,Wednesday
2024-02-22,2024,1,2,22,February,4,Thursday
2024-02-23,2024,1,2,23,February,5,Friday
2024-02-24,2024,1,2,24,February,6,Saturday
2024-02-25,2024,1,2,25,February,7,Sunday
2024-02-26,2024,1,2,26,February,1,Monday
2024-02-27,2024,1,2,27,February,2,Tuesday
2024-02-28,2024,1,2,28,February,3,Wednesday
2024-02-29,2024,1,2,29,February,4,Thursday
2024-03-01,2024,1,3,1,March,5,Friday
2024-03-02,2024,1,3,2,March,6,Saturday
2024-03-03,2024,1,3,3,March,7,Sunday
2024-03-04,2024,1,3,4,March,1,Monday
2024-03-05,2024,1,3,5,March,2,Tuesday
2024-03-06,2024,1,3,6,March,3,Wednesday
2024-03-07,2024,1,3,7,March,4,Thursday
2024-03-08,2024,1,3,8,March,5,Friday
2024-03-09,2024,1,3,9,March,6,Saturday
2024-03-10,2024,1,3,10,March,7,Sunday
2024-03-11,2024,1,3,11,March,1,Monday
2024-03-12,2024,1,3,12,March,2,Tuesday
2024-03-13,2024,1,3,13,March,3,Wednesday
2024-03-14,2024,1,3,14,March,4,Thursday
2024-03-15,2024,1,3,15,March,5,Friday
2024-03-16,2024,1,3,16,March,6,Saturday
2024-03-17,2024,1,3,17,March,7,Sunday
2024-03-18,2024,1,3,18,March,1,Monday
2024-03-19,2024,1,3,19,March,2,Tuesday
2024-03-20,2024,1,3,20,March,3,Wednesday
2024-03-21,2024,1,3,21,March,4,Thursday
2024-03-22,2024,1,3,22,March,5,Friday
2024-03-23,2024,1,3,23,March,6,Saturday
2024-03-24,2024,1,3,24,March,7,Sunday
2024-03-25,2024,1,3,25,March,1,Monday
2024-03-26,2024,1,3,26,March,2,Tuesday
2024-03-27,2024,1,3,27,March,3,Wednesday
2024-03-28,2024,1,3,28,March,4,Thursday
2024-03-29,2024,1,3,29,March,5,Friday
2024-03-30,2024,1,3,30,March,6,Saturday
2024-03-31,2024,1,3,31,March,7,Sunday
2024-04-01,2024,2,4,1,April,1,Monday
2024-04-02,2024,2,4,2,April,2,Tuesday
2024-04-03,2024,2,4,3,April,3,Wednesday
2024-04-04,2024,2,4,4,April,4,Thursday
2024-04-05,2024,2,4,5,April,5,Friday
2024-04-06,2024,2,4,6,April,6,Saturday
2024-04-07,2024,2,4,7,April,7,Sunday
2024-04-08,2024,2,4,8,April,1,Monday
2024-04-09,2024,2,4,9,April,2,Tuesday
2024-04-10,2024,2,4,10,April,3,Wednesday
2024-04-11,2024,2,4,11,April,4,Thursday
2024-04-12,2024,2,4,12,April,5,Friday
2024-04-13,2024,2,4,13,April,6,Saturday
2024-04-14,2024,2,4,14,April,7,Sunday
2024-04-15,2024,2,4,15,April,1,Monday
2024-04-16,2024,2,4,16,April,2,Tuesday
2024-04-17,2024,2,4,17,April,3,Wednesday
2024-04-18,2024,2,4,18,April,4,Thursday
2024-04-19,2024,2,4,19,April,5,Friday
2024-04-20,2024,2,4,20,April,6,Saturday
2024-04-21,2024,2,4,21,April,7,Sunday
2024-04-22,2024,2,4,22,April,1,Monday
2024-04-23,2024,2,4,23,April,2,Tuesday
2024-04-24,2024,2,4,24,April,3,Wednesday
2024-04-25,2024,2,4,25,April,4,Thursday
2024-04-26,2024,2,4,26,April,5,Friday
2024-04-27,2024,2,4,27,April,6,Saturday
2024-04-28,2024,2,4,28,April,7,Sunday
2024-04-29,2024,2,4,29,April,1,Monday
2024-04-30,2024,2,4,30,April,2,Tuesday
2024-05-01,2024,2,5,1,May,3,Wednesday
2024-05-02,2024,2,5,2,May,4,Thursday
2024-05-03,2024,2,5,3,May,5,Friday
2024-05-04,2024,2,5,4,May,6,Saturday
2024-05-05,2024,2,5,5,May,7,Sunday
2024-05-06,2024,2,5,6,May,1,Monday
2024-05-07,2024,2,5,7,May,2,Tuesday
2024-05-08,2024,2,5,8,May,3,Wednesday
2024-05-09,2024,2,5,9,May,4,Thursday
2024-05-10,2024,2,5,10,May,5,Friday
2024-05-11,2024,2,5,11,May,6,Saturday
2024-05-12,2024,2,5,12,May,7,Sunday
2024-05-13,2024,2,5,13,May,1,Monday
2024-05-14,2024,2,5,14,May,2,Tuesday
