date,sku_id,warehouse_id,supplier_id,unit_cost,unit_price,units_sold,inventory_level,supplier_lead_time_days,reorder_point,order_quantity,promotion_flag,stockout_flag,demand_forecast,total_revenue,total_cost,profit,profit_margin,below_reorder_flag,lost_sales_units,lost_revenue,forecast_error,abs_forecast_error,region
2024-01-01,SKU_1,WH_1,SUP_8,13.95,20.48,10,592,14,379,0,0,0,8.52,204.8,139.5,65.30000000000001,0.31884765625,0,0.0,0.0,1.4800000000000004,1.4800000000000004,West
2024-01-02,SKU_1,WH_1,SUP_8,13.95,20.48,17,575,14,379,0,0,0,18.63,348.16,237.15,111.01000000000003,0.3188476562500001,0,0.0,0.0,-1.629999999999999,1.629999999999999,West
2024-01-03,SKU_1,WH_1,SUP_8,13.95,20.48,35,540,14,379,0,1,0,39.62,716.8000000000001,488.25,228.55000000000007,0.31884765625,0,0.0,0.0,-4.619999999999997,4.619999999999997,North
2024-01-04,SKU_1,WH_1,SUP_8,13.95,20.48,24,516,14,379,0,0,0,19.43,491.52,334.79999999999995,156.72000000000003,0.31884765625,0,0.0,0.0,4.57,4.57,South
2024-01-05,SKU_1,WH_1,SUP_8,13.95,20.48,21,495,14,379,0,0,0,18.7,430.08,292.95,137.13,0.31884765625,0,0.0,0.0,2.3000000000000007,2.3000000000000007,West
2024-01-06,SKU_1,WH_1,SUP_8,13.95,20.48,18,477,14,379,0,0,0,18.33,368.64,251.1,117.54,0.31884765625,0,0.0,0.0,-0.3299999999999983,0.3299999999999983,East
2024-01-07,SKU_1,WH_1,SUP_8,13.95,20.48,19,458,14,379,0,0,0,18.91,389.12,265.05,124.07,0.31884765625,0,0.0,0.0,0.0899999999999998,0.0899999999999998,North
2024-01-08,SKU_1,WH_1,SUP_8,13.95,20.48,23,435,14,379,0,1,0,25.84,471.04,320.85,150.19000000000003,0.3188476562500001,0,0.0,0.0,-2.84,2.84,North
2024-01-09,SKU_1,WH_1,SUP_8,13.95,20.48,25,410,14,379,0,0,0,21.7,512.0,348.75,163.25,0.31884765625,0,0.0,0.0,3.3000000000000007,3.3000000000000007,West
2024-01-10,SKU_1,WH_1,SUP_8,13.95,20.48,25,385,14,379,0,0,0,21.34,512.0,348.75,163.25,0.31884765625,0,0.0,0.0,3.66,3.66,South
2024-01-11,SKU_1,WH_1,SUP_8,13.95,20.48,23,362,14,379,0,0,0,18.82,471.04,320.85,150.19000000000003,0.3188476562500001,1,0.0,0.0,4.18,4.18,North
2024-01-12,SKU_1,WH_1,SUP_8,13.95,20.48,29,803,14,379,470,1,0,31.65,593.92,404.55,189.37,0.31884765625,0,0.0,0.0,-2.6499999999999986,2.6499999999999986,West
2024-01-13,SKU_1,WH_1,SUP_8,13.95,20.48,25,778,14,379,0,0,0,25.08,512.0,348.75,163.25,0.31884765625,0,0.0,0.0,-0.0799999999999983,0.0799999999999983,North
2024-01-14,SKU_1,WH_1,SUP_8,13.95,20.48,26,752,14,379,0,0,0,24.39,532.48,362.7,169.78000000000003,0.31884765625,0,0.0,0.0,1.6099999999999994,1.6099999999999994,South
2024-01-15,SKU_1,WH_1,SUP_8,13.95,20.48,19,733,14,379,0,1,0,21.16,389.12,265.05,124.07,0.31884765625,0,0.0,0.0,-2.16,2.16,North
2024-01-16,SKU_1,WH_1,SUP_8,13.95,20.48,19,714,14,379,0,0,0,20.84,389.12,265.05,124.07,0.31884765625,0,0.0,0.0,-1.84,1.84,West
2024-01-17,SKU_1,WH_1,SUP_8,13.95,20.48,26,688,14,379,0,0,0,23.28,532.48,362.7,169.78000000000003,0.31884765625,0,0.0,0.0,2.719999999999999,2.719999999999999,East
2024-01-18,SKU_1,WH_1,SUP_8,13.95,20.48,22,666,14,379,0,0,0,20.13,450.56,306.9,143.66000000000005,0.31884765625,0,0.0,0.0,1.870000000000001,1.870000000000001,North
2024-01-19,SKU_1,WH_1,SUP_8,13.95,20.48,28,638,14,379,0,1,0,31.49,573.44,390.6,182.8400000000001,0.3188476562500001,0,0.0,0.0,-3.4899999999999984,3.4899999999999984,North
2024-01-20,SKU_1,WH_1,SUP_8,13.95,20.48,17,621,14,379,0,0,0,13.41,348.16,237.15,111.01000000000003,0.3188476562500001,0,0.0,0.0,3.59,3.59,East
2024-01-21,SKU_1,WH_1,SUP_8,13.95,20.48,25,596,14,379,0,0,0,19.95,512.0,348.75,163.25,0.31884765625,0,0.0,0.0,5.050000000000001,5.050000000000001,East
2024-01-22,SKU_1,WH_1,SUP_8,13.95,20.48,28,568,14,379,0,0,0,30.39,573.44,390.6,182.8400000000001,0.3188476562500001,0,0.0,0.0,-2.390000000000001,2.390000000000001,South
2024-01-23,SKU_1,WH_1,SUP_8,13.95,20.48,20,548,14,379,0,0,0,21.0,409.6,279.0,130.60000000000002,0.31884765625,0,0.0,0.0,-1.0,1.0,West
2024-01-24,SKU_1,WH_1,SUP_8,13.95,20.48,24,524,14,379,0,0,0,23.1,491.52,334.79999999999995,156.72000000000003,0.31884765625,0,0.0,0.0,0.8999999999999986,0.8999999999999986,West
2024-01-25,SKU_1,WH_1,SUP_8,13.95,20.48,20,504,14,379,0,0,0,21.27,409.6,279.0,130.60000000000002,0.31884765625,0,0.0,0.0,-1.2699999999999996,1.2699999999999996,East
2024-01-26,SKU_1,WH_1,SUP_8,13.95,20.48,20,484,14,379,0,0,0,22.23,409.6,279.0,130.60000000000002,0.31884765625,0,0.0,0.0,-2.2300000000000004,2.2300000000000004,West
2024-01-27,SKU_1,WH_1,SUP_8,13.95,20.48,28,456,14,379,0,0,0,29.08,573.44,390.6,182.8400000000001,0.3188476562500001,0,0.0,0.0,-1.0799999999999983,1.0799999999999983,South
2024-01-28,SKU_1,WH_1,SUP_8,13.95,20.48,29,427,14,379,0,0,0,29.99,593.92,404.55,189.37,0.31884765625,0,0.0,0.0,-0.9899999999999984,0.9899999999999984,West
2024-01-29,SKU_1,WH_1,SUP_8,13.95,20.48,29,398,14,379,0,0,0,28.37,593.92,404.55,189.37,0.31884765625,0,0.0,0.0,0.629999999999999,0.629999999999999,West
2024-01-30,SKU_1,WH_1,SUP_8,13.95,20.48,23,375,14,379,0,0,0,25.02,471.04,320.85,150.19000000000003,0.3188476562500001,1,0.0,0.0,-2.02,2.02,North
2024-01-31,SKU_1,WH_1,SUP_8,13.95,20.48,18,754,14,379,397,0,0,14.94,368.64,251.1,117.54,0.31884765625,0,0.0,0.0,3.0600000000000005,3.0600000000000005,West
2024-02-01,SKU_1,WH_1,SUP_8,13.95,20.48,34,720,14,379,0,0,0,33.54,696.32,474.3,222.0200000000001,0.3188476562500001,0,0.0,0.0,0.4600000000000008,0.4600000000000008,South
2024-02-02,SKU_1,WH_1,SUP_8,13.95,20.48,24,696,14,379,0,0,0,25.21,491.52,334.79999999999995,156.72000000000003,0.31884765625,0,0.0,0.0,-1.2100000000000009,1.2100000000000009,West
2024-02-03,SKU_1,WH_1,SUP_8,13.95,20.48,22,674,14,379,0,0,0,21.56,450.56,306.9,143.66000000000005,0.31884765625,0,0.0,0.0,0.4400000000000013,0.4400000000000013,South
2024-02-04,SKU_1,WH_1,SUP_8,13.95,20.48,32,642,14,379,0,1,0,26.98,655.36,446.4,208.96000000000004,0.31884765625,0,0.0,0.0,5.02,5.02,North
2024-02-05,SKU_1,WH_1,SUP_8,13.95,20.48,25,617,14,379,0,0,0,26.03,512.0,348.75,163.25,0.31884765625,0,0.0,0.0,-1.0300000000000011,1.0300000000000011,East
2024-02-06,SKU_1,WH_1,SUP_8,13.95,20.48,24,593,14,379,0,0,0,24.9,491.52,334.79999999999995,156.72000000000003,0.31884765625,0,0.0,0.0,-0.8999999999999986,0.8999999999999986,South
2024-02-07,SKU_1,WH_1,SUP_8,13.95,20.48,35,558,14,379,0,0,0,29.18,716.8000000000001,488.25,228.55000000000007,0.31884765625,0,0.0,0.0,5.82,5.82,East
2024-02-08,SKU_1,WH_1,SUP_8,13.95,20.48,22,536,14,379,0,0,0,24.32,450.56,306.9,143.66000000000005,0.31884765625,0,0.0,0.0,-2.3200000000000003,2.3200000000000003,East
2024-02-09,SKU_1,WH_1,SUP_8,13.95,20.48,28,508,14,379,0,0,0,27.93,573.44,390.6,182.8400000000001,0.3188476562500001,0,0.0,0.0,0.0700000000000002,0.0700000000000002,South
